0.00, -0.697778,-0.683822,-0.669867,-0.655911,-0.641956,-0.628,-0.614045,-0.600089,-0.586133,-0.572178,-0.558222,-0.544267,-0.530311,-0.516356,-0.5024,-0.488445,-0.474489,-0.460534,-0.446578,-0.432622,-0.418667,-0.404711,-0.390756,-0.3768,-0.362845,-0.348889,-0.334934,-0.320978,-0.307022,-0.293067,-0.279111,-0.265156,-0.2512,-0.237245,-0.223289,-0.209333,-0.195378,-0.181422,-0.167467,-0.153511,-0.139556,-0.1256,-0.111645,-0.0976891,-0.0837335,-0.069778,-0.0558224,-0.0418669,-0.0279113,-0.0139558,-2.03028e-007,0.0139554,0.0279109,0.0418665,0.055822,0.0697776,0.0837331,0.0976887,0.111644,0.1256,0.139555,0.153511,0.167466,0.181422,0.195378,0.209333,0.223289,0.237244,0.2512,0.265155,0.279111,0.293066,0.307022,0.320978,0.334933,0.348889,0.362844,0.3768,0.390755,0.404711,0.418666,0.432622,0.446578,0.460533,0.474489,0.488444,0.5024,0.516355,0.530311,0.544266,0.558222,0.572178,0.586133,0.600089,0.614044,0.628,0.641955,0.655911,0.669866,0.683822,
-3, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.8455,-98.7858,-97.7259,-96.6659,-95.6058,-94.5457,-93.4854,-92.425,-91.3646,-90.3041,-89.2435,-88.1828,-87.122,-86.0612,-85.0003,-83.9393,-82.8783,-81.8173,-80.7562,-79.695,-78.6338,-77.5726,-76.5113,-75.45,-74.3886,-73.3271,-72.2658,-71.2044,-70.1431,-69.0818,-68.0206,-66.9595,-65.8983,-64.8373,-63.7763,-62.7154,-61.6546,-60.5938,-59.5332,-58.4726,-57.4121,-56.3516,-55.2913,-54.2311,-53.171,-52.111,-51.0511,-49.9778,-48.9176,-47.8575,-46.7975,-45.7376,-44.6779,-43.6183,-42.5588,-41.4995,-40.4403,-39.3813,-38.3224,-37.2636,-36.205,-35.1465,-34.0882,-33.03,-31.972,-30.9142,-29.8565,-28.799,-27.7416,-26.6844,-25.6273,-24.5704,-23.5137,
-2.94, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.3972,-98.3375,-97.2777,-96.2178,-95.1578,-94.0976,-93.0374,-91.9771,-90.9167,-89.8562,-88.7956,-87.735,-86.6743,-85.6135,-84.5526,-83.4917,-82.4307,-81.3696,-80.3085,-79.2474,-78.1861,-77.1249,-76.0637,-75.0023,-73.941,-72.8796,-71.8182,-70.7568,-69.6954,-68.6341,-67.5728,-66.5116,-65.4505,-64.3894,-63.3283,-62.2673,-61.2064,-60.1456,-59.0848,-58.0241,-56.9635,-55.903,-54.8426,-53.7822,-52.722,-51.6619,-50.6018,-49.5295,-48.4692,-47.409,-46.3489,-45.2889,-44.229,-43.1693,-42.1097,-41.0503,-39.9909,-38.9317,-37.8727,-36.8138,-35.755,-34.6964,-33.6379,-32.5796,-31.5215,-30.4635,-29.4056,-28.3479,-27.2904,-26.233,-25.1758,-24.1187,-23.0618,-22.0051,
-2.88, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-98.9489,-97.8893,-96.8295,-95.7697,-94.7097,-93.6496,-92.5895,-91.5292,-90.4688,-89.4084,-88.3478,-87.2872,-86.2265,-85.1657,-84.1049,-83.044,-81.983,-80.922,-79.8609,-78.7997,-77.7385,-76.6773,-75.616,-74.5547,-73.4934,-72.432,-71.3706,-70.3092,-69.2478,-68.1864,-67.1251,-66.0638,-65.0026,-63.9415,-62.8803,-61.8193,-60.7583,-59.6974,-58.6365,-57.5758,-56.5151,-55.4544,-54.3939,-53.3335,-52.2731,-51.2129,-50.1527,-49.0813,-48.0208,-46.9605,-45.9003,-44.8402,-43.7802,-42.7204,-41.6607,-40.6011,-39.5416,-38.4823,-37.4231,-36.3641,-35.3052,-34.2464,-33.1878,-32.1293,-31.071,-30.0128,-28.9548,-27.897,-26.8393,-25.7817,-24.7243,-23.6671,-22.61,-21.5531,-20.4964,
-2.82, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.56,-98.5005,-97.441,-96.3813,-95.3215,-94.2616,-93.2016,-92.1414,-91.0812,-90.0209,-88.9605,-87.9,-86.8394,-85.7787,-84.718,-83.6572,-82.5963,-81.5353,-80.4743,-79.4133,-78.3521,-77.291,-76.2297,-75.1684,-74.1071,-73.0458,-71.9844,-70.923,-69.8616,-68.8002,-67.7388,-66.6774,-65.6161,-64.5548,-63.4936,-62.4324,-61.3713,-60.3102,-59.2492,-58.1883,-57.1275,-56.0667,-55.006,-53.9453,-52.8848,-51.8244,-50.764,-49.6938,-48.6331,-47.5726,-46.5121,-45.4518,-44.3916,-43.3315,-42.2716,-41.2117,-40.152,-39.0924,-38.033,-36.9736,-35.9144,-34.8554,-33.7965,-32.7377,-31.6791,-30.6206,-29.5623,-28.5042,-27.4461,-26.3883,-25.3306,-24.273,-23.2156,-22.1584,-21.1013,-20.0444,-18.9877,
-2.76, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.1115,-98.0521,-96.9926,-95.933,-94.8732,-93.8134,-92.7534,-91.6934,-90.6332,-89.5729,-88.5126,-87.4521,-86.3916,-85.331,-84.2703,-83.2095,-82.1486,-81.0877,-80.0267,-78.9657,-77.9045,-76.8434,-75.7821,-74.7209,-73.6596,-72.5982,-71.5369,-70.4755,-69.414,-68.3526,-67.2912,-66.2298,-65.1684,-64.1071,-63.0458,-61.9846,-60.9234,-59.8623,-58.8012,-57.7402,-56.6793,-55.6184,-54.5576,-53.4969,-52.4363,-51.3757,-50.3152,-49.2458,-48.185,-47.1244,-46.0638,-45.0034,-43.9431,-42.8829,-41.8228,-40.7629,-39.703,-38.6433,-37.5837,-36.5243,-35.4649,-34.4057,-33.3467,-32.2878,-31.229,-30.1704,-29.1119,-28.0536,-26.9954,-25.9374,-24.8796,-23.8218,-22.7643,-21.7069,-20.6497,-19.5926,-18.5357,-17.4789,
-2.7, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.722,-98.6629,-97.6036,-96.5441,-95.4846,-94.4249,-93.3651,-92.3053,-91.2452,-90.1852,-89.1249,-88.0646,-87.0042,-85.9437,-84.8831,-83.8225,-82.7618,-81.7009,-80.64,-79.5791,-78.518,-77.4569,-76.3958,-75.3346,-74.2733,-73.212,-72.1507,-71.0893,-70.0279,-68.9665,-67.905,-66.8436,-65.7822,-64.7208,-63.6594,-62.5981,-61.5368,-60.4756,-59.4144,-58.3532,-57.2922,-56.2312,-55.1702,-54.1093,-53.0485,-51.9878,-50.9271,-49.8588,-48.7978,-47.737,-46.6763,-45.6156,-44.5551,-43.4947,-42.4344,-41.3742,-40.3141,-39.2541,-38.1943,-37.1346,-36.075,-35.0155,-33.9562,-32.897,-31.8379,-30.779,-29.7203,-28.6617,-27.6032,-26.5448,-25.4867,-24.4287,-23.3708,-22.3131,-21.2555,-20.1981,-19.1409,-18.0838,-17.0269,-15.9701,
-2.64, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.2733,-98.2142,-97.155,-96.0956,-95.0361,-93.9765,-92.9168,-91.857,-90.7971,-89.737,-88.6769,-87.6167,-86.5563,-85.4958,-84.4353,-83.3747,-82.314,-81.2532,-80.1924,-79.1314,-78.0704,-77.0094,-75.9482,-74.887,-73.8258,-72.7645,-71.7032,-70.6418,-69.5804,-68.519,-67.4575,-66.396,-65.3346,-64.2732,-63.2118,-62.1504,-61.0891,-60.0278,-58.9665,-57.9053,-56.8442,-55.7831,-54.7221,-53.6611,-52.6002,-51.5394,-50.4787,-49.411,-48.35,-47.289,-46.2282,-45.1675,-44.1069,-43.0463,-41.9859,-40.9256,-39.8654,-38.8053,-37.7453,-36.6855,-35.6258,-34.5662,-33.5067,-32.4474,-31.3882,-30.3292,-29.2703,-28.2115,-27.1529,-26.0944,-25.0361,-23.9779,-22.9198,-21.862,-20.8042,-19.7467,-18.6893,-17.632,-16.5749,-15.518,-14.4613,
-2.58, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.8833,-98.8244,-97.7654,-96.7062,-95.647,-94.5876,-93.5281,-92.4685,-91.4087,-90.3488,-89.2889,-88.2288,-87.1686,-86.1083,-85.0479,-83.9874,-82.9269,-81.8662,-80.8055,-79.7447,-78.6838,-77.6228,-76.5618,-75.5007,-74.4395,-73.3783,-72.317,-71.2557,-70.1943,-69.1329,-68.0715,-67.01,-65.9485,-64.887,-63.8256,-62.7641,-61.7028,-60.6414,-59.5801,-58.5187,-57.4575,-56.3963,-55.3351,-54.274,-53.213,-52.152,-51.0911,-50.0303,-48.9632,-47.9022,-46.8411,-45.7802,-44.7194,-43.6587,-42.5981,-41.5375,-40.4771,-39.4168,-38.3566,-37.2965,-36.2365,-35.1767,-34.117,-33.0574,-31.9979,-30.9386,-29.8794,-28.8204,-27.7614,-26.7027,-25.644,-24.5856,-23.5272,-22.469,-21.411,-20.3531,-19.2954,-18.2378,-17.1804,-16.1232,-15.0661,-14.0091,-12.9524,
-2.52, -100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.4342,-98.3754,-97.3165,-96.2574,-95.1983,-94.139,-93.0795,-92.02,-90.9603,-89.9005,-88.8406,-87.7806,-86.7205,-85.6603,-84.5999,-83.5395,-82.479,-81.4184,-80.3577,-79.2969,-78.2361,-77.1751,-76.1142,-75.0531,-73.992,-72.9308,-71.8695,-70.8082,-69.7469,-68.6855,-67.6241,-66.5626,-65.5011,-64.4396,-63.378,-62.3166,-61.2551,-60.1937,-59.1324,-58.071,-57.0097,-55.9484,-54.8872,-53.8261,-52.765,-51.7039,-50.6429,-49.5768,-48.5156,-47.4544,-46.3933,-45.3323,-44.2714,-43.2106,-42.1499,-41.0892,-40.0287,-38.9683,-37.908,-36.8478,-35.7877,-34.7277,-33.6679,-32.6082,-31.5486,-30.4891,-29.4298,-28.3706,-27.3115,-26.2526,-25.1938,-24.1352,-23.0767,-22.0184,-20.9601,-19.9021,-18.8442,-17.7865,-16.7289,-15.6715,-14.6142,-13.5571,-12.5002,-11.4434,
